Modelo,MAE,MSE,RMSE,R2
Rolling SARIMAX,89.93309724920108,12992.423541531325,113.9843126992979,-11.5688062245162
ElasticNet,195.81703851877583,44196.94416492877,210.2306927280809,-30.189294707523732
XGBoost,83.74042348989057,8960.144923560103,94.65804204376987,-5.32307517913867
