año,mes,nombre departamento,código departamento,nombre municipio,código municipio,precio promedio por litro
2013,1,cordoba,23,chinu,23182,802.6946784135282
2013,1,cordoba,23,cienaga de oro,23189,809.1350496838302
2013,1,cordoba,23,lorica,23417,754.0538357138241
2013,1,cordoba,23,montelibano,23466,805.7517641702709
2013,1,cordoba,23,monteria,23001,740.744779343689
2013,1,cordoba,23,planeta rica,23555,802.6630921608272
2013,1,cordoba,23,pueblo nuevo,23570,752.43901738256
2013,1,cordoba,23,sahagun,23660,781.4982066178328
2013,1,cordoba,23,san pelayo,23686,799.8733453178623
2013,1,huila,41,aipe,41016,771.8526594660689
2013,1,huila,41,la plata,41396,842.7650429799427
2013,1,huila,41,neiva,41001,796.9392273084339
2013,1,huila,41,palermo,41524,811.5100261551875
2013,1,huila,41,pitalito,41551,839.6125323368784
2013,1,la guajira,44,san juan del cesar,44650,853.435525607177
2013,1,magdalena,47,ariguani,47058,806.0803382663847
2013,1,magdalena,47,chibolo,47170,842.0521381578948
2013,1,magdalena,47,el pinon,47258,765.7291348211556
2013,1,magdalena,47,nueva granada,47460,834.0706643443642
2013,1,magdalena,47,pijino del carmen,47545,801.802423112768
2013,1,magdalena,47,pivijay,47551,804.4110668185269
2013,1,magdalena,47,plato,47555,813.4498351389543
2013,1,magdalena,47,sabanas de san angel,47660,875.284421099687
2013,1,meta,50,acacias,50006,741.0727623727623
2013,1,meta,50,castilla la nueva,50150,798.1704960274855
2013,1,meta,50,cumaral,50226,770.6139187662689
2013,1,meta,50,granada,50313,830.4597910592809
2013,1,meta,50,guamal,50318,795.5900118859726
2013,1,meta,50,puerto lopez,50573,804.9676062970937
2013,1,meta,50,restrepo,50606,797.9970958604108
2013,1,meta,50,villavicencio,50001,884.9385544273816
2013,1,narino,52,buesaco,52110,610.2322604242868
2013,1,narino,52,cumbal,52227,861.0634464586177
2013,1,narino,52,guachucal,52317,886.8710431654677
2013,1,narino,52,ipiales,52356,815.4735505322219
2013,1,narino,52,pasto,52001,714.4943421437221
2013,1,narino,52,pupiales,52585,862.1343480113086
2013,1,narino,52,tangua,52788,557.8637815858264
2013,1,narino,52,tuquerres,52838,666.622743444459
2013,1,norte de santander,54,chinacota,54172,836.5110246433204
2013,1,norte de santander,54,chitaga,54174,759.3515742128935
