año,mes,nombre departamento,código departamento,nombre municipio,código municipio,precio promedio por litro,ipc,PRECIO_DOLAR,PRECIO_PROMEDIO_BIODIESEL,PRECIO_PROMEDIO_CORRIENTE,PRECIO_PROMEDIO_EXTRA
2024,2,antioquia,5,yarumal,5887,2059.6412392587667,138.76,3931.438620689655,9484.290966386554,15445.281573498964,19891.23255813953
2024,3,antioquia,5,yarumal,5887,2060.0054261813248,139.79999999999998,3899.341290322581,9489.697257383968,15547.09958506224,19914.562790697677
2024,4,antioquia,5,yarumal,5887,1996.988210665492,140.84,3867.975333333333,9490.147643979057,15547.867147270856,19954.278260869567
2024,5,antioquia,5,yarumal,5887,1908.0003343922424,141.88,3869.10064516129,9610.2554973822,15633.49074074074,19783.45581395349
2024,6,antioquia,5,yarumal,5887,1867.569711041125,142.92,4042.797,9600.77139874739,15606.026694045177,19960.946428571428
2024,7,antioquia,5,yarumal,5887,1919.8676931106472,143.38,4036.921935483871,9536.90690376569,15491.23975409836,19941.666666666668
2024,8,antioquia,5,yarumal,5887,1899.802011685076,143.67,4065.546451612903,9734.85220125786,15634.12641315519,19853.021551724138
2024,9,antioquia,5,yarumal,5887,1906.0,143.845,4182.512333333333,10643.024261603376,15333.738951695786,19666.29437229437
2024,10,antioquia,5,yarumal,5887,1968.7888636484404,144.02,4249.47,9845.792452830188,15141.749488752555,19604.77391304348
2024,11,antioquia,5,yarumal,5887,1957.176054829728,143.83,4408.652333333333,9601.978079331942,14770.22564102564,18781.052631578947
2024,12,antioquia,5,yarumal,5887,1937.6337686351555,144.22,4385.148709677419,10448.577568134173,15430.547227926078,19044.70869565217
